ALLEY_TRDAR_NO,SIGNGU_CD_NM,ADSTRD_CD_NM
13158,구로구,개봉동
13544,구로구,개봉동
13238,구로구,개봉동
13186,구로구,개봉동
13328,구로구,개봉동
13329,구로구,개봉동
13348,구로구,개봉동
13353,구로구,개봉동
13207,구로구,개봉동
13223,구로구,오류동
13202,구로구,오류동
13199,구로구,오류동
13332,구로구,오류동
13291,구로구,오류동
13189,구로구,수궁동
13448,금천구,가산동
13381,금천구,가산동
13441,금천구,가산동
13370,금천구,가산동
13458,금천구,독산동
13480,금천구,독산동
13451,금천구,독산동
13436,금천구,독산동
13428,금천구,독산동
13464,금천구,독산동
13459,금천구,독산동
13463,금천구,독산동
13489,금천구,독산동
13419,금천구,독산동
13442,금천구,독산동
13360,금천구,독산동
13425,금천구,독산동
13364,금천구,독산동
13424,금천구,독산동
13443,금천구,독산동
13467,금천구,독산동
13481,금천구,독산동
13460,금천구,독산동
13476,금천구,독산동
13473,금천구,독산동
13491,금천구,시흥동
13500,금천구,시흥동
13493,금천구,시흥동
13490,금천구,시흥동
13487,금천구,시흥동
13486,금천구,시흥동
13484,금천구,시흥동
13497,금천구,시흥동
13502,금천구,시흥동
13503,금천구,시흥동
13492,금천구,시흥동
13488,금천구,시흥동
13496,금천구,시흥동
13494,금천구,시흥동
13499,금천구,시흥동
13495,금천구,시흥동
12891,영등포구,영등포동
12872,영등포구,영등포동
12929,영등포구,영등포동
12964,영등포구,영등포동
12933,영등포구,영등포동
12945,영등포구,영등포동
12962,영등포구,영등포동
12832,영등포구,영등포동
13627,영등포구,여의동
12912,영등포구,여의동
12895,영등포구,여의동
12840,영등포구,당산동
12903,영등포구,당산동
12852,영등포구,당산동
12956,영등포구,당산동
12930,영등포구,당산동
12925,영등포구,당산동
12915,영등포구,당산동
12866,영등포구,당산동
12736,영등포구,당산동
11947,영등포구,당산동
12878,영등포구,당산동
12752,영등포구,당산동
12754,영등포구,당산동
12890,영등포구,문래동
12992,영등포구,문래동
12905,영등포구,문래동
12938,영등포구,양평동
12947,영등포구,양평동
12963,영등포구,양평동
12948,영등포구,양평동
12926,영등포구,양평동
12899,영등포구,양평동
12944,영등포구,양평동
12688,영등포구,양평동
12695,영등포구,양평동
12694,영등포구,양평동
12690,영등포구,양평동
12781,영등포구,양평동
12808,영등포구,양평동
13042,영등포구,신길동
12975,영등포구,신길동
12971,영등포구,신길동
12970,영등포구,신길동
13006,영등포구,신길동
13086,영등포구,신길동
13061,영등포구,신길동
13583,영등포구,대림동
13275,영등포구,대림동
13265,영등포구,대림동
13200,영등포구,대림동
13195,영등포구,대림동
13266,영등포구,대림동
13296,영등포구,대림동
13065,영등포구,대림동
13062,영등포구,대림동
13621,영등포구,대림동
13177,영등포구,대림동
13243,영등포구,대림동
13159,영등포구,대림동
13213,영등포구,대림동
13216,영등포구,대림동
13140,영등포구,대림동
13075,동작구,노량진동
13035,동작구,노량진동
12969,동작구,노량진동
12967,동작구,노량진동
12972,동작구,노량진동
13017,동작구,노량진동
13009,동작구,노량진동
13232,동작구,상도동
13119,동작구,상도동
13133,동작구,상도동
13134,동작구,상도동
13215,동작구,상도동
13208,동작구,상도동
13162,동작구,상도동
13218,동작구,상도동
13093,동작구,상도동
13111,동작구,상도동
13110,동작구,상도동
13074,동작구,상도동
13090,동작구,상도동
13056,동작구,상도동
13087,동작구,상도동
13519,동작구,상도동
13067,동작구,상도동
13058,동작구,상도동
13157,동작구,상도동
13024,동작구,흑석동
13021,동작구,흑석동
13004,동작구,흑석동
13022,동작구,흑석동
13005,동작구,흑석동
13011,동작구,흑석동
13079,동작구,흑석동
13445,동작구,사당동
13402,동작구,사당동
13376,동작구,사당동
13432,동작구,사당동
13269,동작구,사당동
13307,동작구,사당동
13407,동작구,사당동
13404,동작구,사당동
13396,동작구,사당동
